Country,Cause,CancerSite,ageStart,ageGroup,ageLabel,Females_2011,Females_2012,Females_2013,Females_2014,Females_2015,Females_2016,Females_2017,Males_2011,Males_2012,Males_2013,Males_2014,Males_2015,Males_2016,Males_2017
Austria,Malignant neoplasm of bladder,Bladder,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Austria,Malignant neoplasm of bladder,Bladder,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,20,20-24,From 20 to 24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,25,25-29,From 25 to 29 years,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,30,30-34,From 30 to 34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,35,35-39,From 35 to 39 years,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Austria,Malignant neoplasm of bladder,Bladder,40,40-44,From 40 to 44 years,1,5,1,1,0,0,0,1,3,3,1,0,1,1
Austria,Malignant neoplasm of bladder,Bladder,45,45-49,From 45 to 49 years,2,0,0,1,2,1,2,5,3,2,1,5,6,3
Austria,Malignant neoplasm of bladder,Bladder,50,50-54,From 50 to 54 years,6,2,7,2,1,5,2,5,6,5,9,9,11,9
Austria,Malignant neoplasm of bladder,Bladder,55,55-59,From 55 to 59 years,6,3,4,5,5,4,7,10,11,9,17,20,17,13
Austria,Malignant neoplasm of bladder,Bladder,60,60-64,From 60 to 64 years,6,12,3,4,5,2,6,21,20,18,24,33,17,17
Austria,Malignant neoplasm of bladder,Bladder,65,65-69,From 65 to 69 years,19,18,12,9,10,10,11,38,29,18,34,33,26,38
Austria,Malignant neoplasm of bladder,Bladder,70,70-74,From 70 to 74 years,17,15,18,23,16,14,14,41,60,53,51,50,55,36
Austria,Malignant neoplasm of bladder,Bladder,75,75-79,From 75 to 79 years,20,18,19,16,20,26,22,53,54,51,48,51,80,70
Austria,Malignant neoplasm of bladder,Bladder,80,80-84,From 80 to 84 years,31,34,22,25,26,35,28,81,82,66,73,49,62,70
Austria,Malignant neoplasm of bladder,Bladder,85,85,85 years or over,71,61,55,69,67,73,81,81,106,104,113,135,143,148
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,1,1-4,From 1 to 4 years,2,1,1,1,2,0,1,1,2,1,2,0,1,1
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,5,5-9,From 5 to 9 years,5,1,3,3,2,4,1,4,1,0,1,1,1,4
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,10,10-14,From 10 to 14 years,2,1,1,1,1,3,2,1,1,5,3,4,2,0
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,15,15-19,From 15 to 19 years,0,0,3,2,3,1,0,1,1,1,2,3,1,2
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,20,20-24,From 20 to 24 years,0,0,0,2,1,0,0,2,3,2,6,3,4,3
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,25,25-29,From 25 to 29 years,4,2,1,1,1,1,2,5,5,2,4,3,3,2
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,30,30-34,From 30 to 34 years,5,1,4,3,4,6,4,2,3,2,4,4,4,2
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,35,35-39,From 35 to 39 years,8,8,2,3,8,4,3,6,7,11,5,9,13,8
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,40,40-44,From 40 to 44 years,6,8,7,8,3,2,7,11,11,14,13,11,11,11
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,45,45-49,From 45 to 49 years,13,16,20,11,13,13,11,17,24,15,18,21,19,13
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,50,50-54,From 50 to 54 years,14,15,12,24,17,23,17,26,21,34,29,33,25,28
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,55,55-59,From 55 to 59 years,21,14,23,20,20,27,22,23,38,40,33,27,28,29
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,60,60-64,From 60 to 64 years,25,27,24,27,30,34,23,26,37,32,28,39,29,36
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,65,65-69,From 65 to 69 years,25,21,31,29,28,27,37,31,36,31,40,34,49,50
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,70,70-74,From 70 to 74 years,24,49,41,37,36,44,33,39,55,45,49,30,42,39
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,75,75-79,From 75 to 79 years,34,31,30,26,24,38,32,20,35,28,33,37,55,48
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,80,80-84,From 80 to 84 years,30,24,23,23,29,24,26,22,17,29,24,24,21,17
Austria,Malignant neoplasm of brain and central nervous system,Brain and Central Nervous System,85,85,85 years or over,19,19,14,17,27,20,23,12,7,13,14,9,13,14
Austria,Malignant neoplasm of breast,Breast,1,1-4,From 1 to 4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,5,5-9,From 5 to 9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,10,10-14,From 10 to 14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,15,15-19,From 15 to 19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,20,20-24,From 20 to 24 years,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,25,25-29,From 25 to 29 years,2,1,6,3,2,2,1,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,30,30-34,From 30 to 34 years,6,7,5,8,8,12,10,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,35,35-39,From 35 to 39 years,15,19,16,22,25,16,14,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,40,40-44,From 40 to 44 years,44,36,34,41,30,30,32,0,0,1,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,45,45-49,From 45 to 49 years,72,64,65,56,59,76,68,0,0,0,0,0,0,0
Austria,Malignant neoplasm of breast,Breast,50,50-54,From 50 to 54 years,101,88,86,86,82,87,103,1,1,2,0,0,3,1
Austria,Malignant neoplasm of breast,Breast,55,55-59,From 55 to 59 years,82,109,91,106,117,98,103,2,1,0,2,3,0,3
Austria,Malignant neoplasm of breast,Breast,60,60-64,From 60 to 64 years,135,120,123,132,123,127,134,5,3,1,1,5,6,0
Austria,Malignant neoplasm of breast,Breast,65,65-69,From 65 to 69 years,150,134,144,151,151,155,129,4,5,2,0,1,7,1
Austria,Malignant neoplasm of breast,Breast,70,70-74,From 70 to 74 years,159,225,209,189,198,174,180,1,1,2,2,3,4,3
Austria,Malignant neoplasm of breast,Breast,75,75-79,From 75 to 79 years,158,151,182,174,193,232,226,1,2,7,1,1,1,4
Austria,Malignant neoplasm of breast,Breast,80,80-84,From 80 to 84 years,193,212,214,202,190,213,180,1,6,4,6,4,3,4
Austria,Malignant neoplasm of breast,Breast,85,85,85 years or over,372,369,400,373,409,382,404,3,1,1,2,5,6,7
