Country,Sex,ageStart,ageGroup,ageLabel,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,Females,1,1-4,From 1 to 4 years,207179,202154,195267,193538,192200,193438,193971,194917,193457,193366,191835,191761,191498,192585,193837,196715,201237,206078,209298
Austria,Females,5,5-9,From 5 to 9 years,233066,230403,227325,223386,218275,213142,209383,203182,200681,198360,198138,197439,198401,197161,197389,197271,200435,201564,203181
Austria,Females,10,10-14,From 10 to 14 years,228581,230299,233414,235771,237891,238046,236351,233351,229094,223413,217392,212824,206729,204086,202082,202605,203980,206226,205691
Austria,Females,15,15-19,From 15 to 19 years,237568,237102,235420,234201,235546,237055,239394,241659,243673,244726,243834,241074,237509,233817,228834,224066,221893,216882,214236
Austria,Females,20,20-24,From 20 to 24 years,231886,231496,236895,245321,252296,259209,260771,258398,256950,257312,257315,258683,261003,264788,267430,268689,270022,267873,263613
Austria,Females,25,25-29,From 25 to 29 years,285220,274988,264940,257350,253931,252376,255461,261030,268256,273291,277046,276964,275403,274611,277369,281392,288182,292778,294826
Austria,Females,30,30-34,From 30 to 34 years,340791,333964,327188,318659,307257,297345,289274,279734,271832,266918,262475,263653,269690,277264,283973,290896,294734,295555,295061
Austria,Females,35,35-39,From 35 to 39 years,340649,345630,348707,349274,348578,346485,341421,334465,325549,313424,301763,292754,283454,276336,272964,271576,275800,283403,291611
Austria,Females,40,40-44,From 40 to 44 years,297210,306437,314838,324093,334698,343691,349707,352450,352731,351554,348335,342229,335611,327560,316726,307398,300846,293063,286773
Austria,Females,45,45-49,From 45 to 49 years,254612,259249,269718,277904,287355,298051,308349,316459,325906,336284,344349,349600,352351,353242,352873,351269,347035,341494,334155
Austria,Females,50,50-54,From 50 to 54 years,241505,253532,257192,253491,251597,253619,258963,269510,277641,287038,297021,306704,314889,324572,335505,344392,350911,354387,356110
Austria,Females,55,55-59,From 55 to 59 years,260613,237919,227571,232356,236429,238272,250563,254035,250779,249083,250758,255710,265957,274449,283947,294521,304900,313528,323570
Austria,Females,60,60-64,From 60 to 64 years,204342,227462,246490,256915,264142,254748,232861,221952,226850,230955,232628,244484,247889,244921,243341,245266,250528,261045,269912
Austria,Females,65,65-69,From 65 to 69 years,186726,181243,177943,174662,176853,197134,219675,237591,247858,254720,245522,224142,213589,218377,222458,224358,235642,239057,236340
Austria,Females,70,70-74,From 70 to 74 years,193660,188484,184561,182047,178491,174707,169946,166877,164330,166634,186051,207542,224663,234131,240554,231975,211581,201473,206227
Austria,Females,75,75-79,From 75 to 79 years,192990,193103,189772,182669,176168,171152,167349,163955,162597,160010,156889,153176,150855,149017,151566,170183,190031,205723,214392
Austria,Females,80,80-84,From 80 to 84 years,87941,99474,115868,131326,145547,152425,153215,151227,146738,142396,138743,136363,134635,134093,132544,130588,128018,126673,125401
Austria,Females,85,85,85 years or over,109316,106903,103797,97711,92719,95598,103300,112130,120578,128584,135348,141191,145851,147228,149055,151369,152143,153622,153352
Austria,Males,1,1-4,From 1 to 4 years,217322,212332,205711,203975,202685,204285,204361,204416,202636,202917,201150,201425,202201,204294,205667,209288,214886,219573,222710
Austria,Males,5,5-9,From 5 to 9 years,244991,241963,238763,233941,228717,223474,219821,213968,211206,208906,208795,207586,207850,206478,207158,206627,210666,213075,215722
Austria,Males,10,10-14,From 10 to 14 years,240611,242029,245292,248679,250070,250648,248710,245474,240136,234199,227857,223371,217455,214759,212711,213507,215643,217224,216400
Austria,Males,15,15-19,From 15 to 19 years,248038,247792,246631,245959,247802,249629,251696,253913,256450,257053,256879,253954,250859,246738,241270,236852,240845,237103,232261
